Log Field Name,APP-CTRL,Anomaly,DLP,DNS,Debug,EmailFilter,FILE-FILTER,FORTI-SWITCH,GTP,ICAP,IPS,SSH,SSL,Virus,VoIP,WAF,Webfilter,casb,virtual-patch
videoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videoinfosource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
videotitle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
violations,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
virus,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
viruscat,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
virusid,0,0,0,0,0,0,0,0,0,3,0,0,0,60,0,0,0,0,0
voip_proto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
vrf,15,3,4,0,0,5,2,0,0,3,7,0,21,76,0,0,60,3,4
webmailprovider,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
xid,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
